City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
ATTICA,NEW YORK,4,5,2143,5
ATTLEBORO,MASSACHUSETTS,105,2946,731411,2946
ATWATER,CALIFORNIA,10,46,34718,46
ATWOOD,KANSAS,2,7,5228,7
AUBERRY,CALIFORNIA,2,2,303,2
AUBURN,ALABAMA,31,237,31298,237
AUBURN,CALIFORNIA,115,1834,268136,1834
AUBURN,ILLINOIS,1,1,41,1
AUBURN,INDIANA,33,255,95635,255
AUBURN,KENTUCKY,2,2,194,2
AUBURN,MAINE,40,182,28442,182
AUBURN,MASSACHUSETTS,26,44,7369,44
AUBURN,NEBRASKA,9,78,44458,78
AUBURN,NEW YORK,120,1704,399539,1704
AUBURN,WASHINGTON,102,1341,192037,1341
AUBURN HILLS,MICHIGAN,22,71,13132,71
AUBURNDALE,FLORIDA,2,2,50,2
AUBURNDALE,MASSACHUSETTS,1,1,45,1
AUDUBON,IOWA,7,53,63399,53
AUDUBON,NEW JERSEY,3,4,427,4
AUDUBON,PENNSYLVANIA,3,5,1481,5
AUGUSTA,ARKANSAS,3,11,5195,11
AUGUSTA,GEORGIA,808,24244,4285392,24244
AUGUSTA,KANSAS,5,14,4725,14
AUGUSTA,KENTUCKY,2,2,99,2
AUGUSTA,MAINE,170,3941,843447,3941
AULANDER,NORTH CAROLINA,2,4,3067,4
AUMSVILLE,OREGON,3,6,3135,6
AURORA,COLORADO,930,14756,2537828,14756
AURORA,ILLINOIS,330,13401,1987843,13401
AURORA,INDIANA,2,3,149,3
AURORA,MINNESOTA,6,24,10749,24
AURORA,MISSOURI,16,45,12889,45
AURORA,NEBRASKA,11,89,30379,89
AURORA,NEW YORK,3,6,1166,6
AURORA,NORTH CAROLINA,1,1,50,1
AUSTELL,GEORGIA,235,6947,1232938,6947
AUSTIN,INDIANA,2,4,7292,4
AUSTIN,MINNESOTA,49,707,90931,707
AUSTIN,TENNESSEE,1,95,8972,95
AUSTIN,TEXAS,2323,93296,13609092,93296
AUSTINTOWN,OHIO,19,58,18982,58
AUXIER,KENTUCKY,1,1,87,1
AVA,MISSOURI,8,13,8645,13
AVALON,CALIFORNIA,2,3,1714,3
AVALON,PENNSYLVANIA,2,2,115,2
AVENAL,CALIFORNIA,1,1,51,1
AVENEL,NEW JERSEY,18,112,74897,112
AVENTURA,FLORIDA,166,4418,832811,4418
AVILLA,INDIANA,6,20,3478,20
AVIS,PENNSYLVANIA,3,6,668,6
AVOCA,IOWA,1,1,98,1
AVOCA,PENNSYLVANIA,2,4,697,4
AVON,COLORADO,13,37,2194,37
AVON,CONNECTICUT,46,115,19113,115
AVON,INDIANA,80,672,129560,672
AVON,NEW YORK,4,11,3983,11
AVON,NORTH CAROLINA,2,2,814,2
AVON,OHIO,20,53,9256,53
AVON LAKE,OHIO,7,22,1872,22
AVON PARK,FLORIDA,22,181,96972,181
AVONDALE,ARIZONA,28,119,15855,119
AYDEN,NORTH CAROLINA,2,5,4143,5
AYER,MASSACHUSETTS,21,300,127836,300
AYLETT,VIRGINIA,1,1,1687,1
AYNOR,SOUTH CAROLINA,1,1,989,1
AZLE,TEXAS,14,81,25459,81
AZTEC,NEW MEXICO,4,11,2340,11
AZUSA,CALIFORNIA,1,1,59,1
BABYLON,NEW YORK,38,213,78978,213
BAD AXE,MICHIGAN,37,409,97661,409
BADEN,PENNSYLVANIA,2,2,118,2
BAGLEY,MINNESOTA,5,29,21396,29
BAINBRIDGE,GEORGIA,23,279,90893,279
BAINBRIDGE,NEW YORK,2,2,167,2
BAINBRIDGE ISLAND,WASHINGTON,27,91,16997,91
BAKER,FLORIDA,3,5,3686,5
BAKER,LOUISIANA,6,16,2073,16
BAKER,MONTANA,2,14,30362,14
BAKER,WEST VIRGINIA,3,8,6176,8
BAKER CITY,OREGON,34,468,102349,468
BAKERSFIELD,CALIFORNIA,648,31057,4839659,31057
BAKERSVILLE,NORTH CAROLINA,5,14,2363,14
BALA CYNWYD,PENNSYLVANIA,66,244,21406,244
BALDWIN,GEORGIA,1,1,15,1
BALDWIN,MICHIGAN,3,6,8072,6
BALDWIN,NEW YORK,14,24,2148,24
BALDWIN,WISCONSIN,9,43,33420,43
BALDWIN CITY,KANSAS,3,6,2381,6
BALDWIN HARBOR,NEW YORK,2,2,486,2
BALDWIN PARK,CALIFORNIA,98,129,20654,129
BALDWINSVILLE,NEW YORK,5,7,572,7
BALDWINVILLE,MASSACHUSETTS,4,13,4583,13
BALDWYN,MISSISSIPPI,3,5,1890,5
BALLINGER,TEXAS,7,48,15132,48
BALLSTON LAKE,NEW YORK,4,8,405,8
BALLSTON SPA,NEW YORK,11,23,10703,23
BALLWIN,MISSOURI,6,7,392,7
BALTIMORE,MAINE,1,106,15005,106
BALTIMORE,MARYLAND,4290,138983,18089542,138983
BALTIMORE,OHIO,1,3,125,3
BAMBERG,SOUTH CAROLINA,7,36,24505,36
BANCROFT,IOWA,2,2,116,2
BANDON,OREGON,9,39,19372,39
BANGOR,MAINE,607,20276,2791581,20276
BANGOR,MICHIGAN,4,5,1882,5
BANGOR,PENNSYLVANIA,5,20,4890,20
BANGS,TEXAS,1,1,219,1
BANNER ELK,NORTH CAROLINA,2,6,13013,6
BANNING,CALIFORNIA,29,298,38665,298
BANNOCKBURN,ILLINOIS,27,321,78173,321
BANTAM,CONNECTICUT,2,2,471,2
BAR HARBOR,MAINE,32,276,102178,276
BARABOO,WISCONSIN,50,347,98602,347
BARAGA,MICHIGAN,2,5,1861,5
BARBERTON,OHIO,69,1000,223911,1000
BARBOURSVILLE,VIRGINIA,1,1,229,1
BARBOURSVILLE,WEST VIRGINIA,20,44,10096,44
BARBOURVILLE,KENTUCKY,30,278,195445,278
BARCELONETA,PUERTO RICO,7,7,347,7
BARCO,NORTH CAROLINA,1,1,67,1
BARDONIA,NEW YORK,4,4,1024,4
BARDSTOWN,KENTUCKY,49,507,127249,507
BARK RIVER,MICHIGAN,3,8,1073,8
BARNEGAT,NEW JERSEY,6,15,2010,15
BARNESVILLE,GEORGIA,6,14,4766,14
BARNESVILLE,MINNESOTA,3,7,4479,7
BARNESVILLE,OHIO,11,84,44216,84
BARNEVELD,NEW YORK,9,17,2043,17
BARNSDALL,OKLAHOMA,1,2,1024,2
BARNWELL,SOUTH CAROLINA,10,52,13120,52
BARRANQUITAS,PUERTO RICO,4,5,444,5
BARRE,MASSACHUSETTS,10,50,3032,50
BARRE,VERMONT,19,161,36351,161
BARRINGTON,ILLINOIS,118,1183,204946,1183
BARRINGTON,NEW HAMPSHIRE,10,19,6483,19
BARRINGTON,NEW JERSEY,7,15,2186,15
BARRINGTON,RHODE ISLAND,9,11,1634,11
BARRON,WISCONSIN,32,253,131590,253
BARROW,ALASKA,2,2,257,2
BARRY,ILLINOIS,2,5,5530,5
BARSTOW,CALIFORNIA,20,185,49484,185
BARTLESVILLE,OKLAHOMA,108,3504,663593,3504
BARTLETT,ILLINOIS,15,20,4163,20
BARTLETT,TENNESSEE,71,511,90714,511
BARTON,VERMONT,2,3,813,3
BARTONVILLE,ILLINOIS,3,7,1393,7
BARTOW,FLORIDA,17,60,18592,60
BASALT,COLORADO,12,36,3770,36
BASIN,WYOMING,2,3,591,3
BASKING RIDGE,NEW JERSEY,26,90,56336,90
BASSETT,NEBRASKA,4,18,20004,18
BASSETT,VIRGINIA,1,1,218,1
BASTIAN,VIRGINIA,9,42,7703,42
BASTROP,LOUISIANA,23,169,61809,169
BASTROP,TEXAS,20,127,21637,127
BATAVIA,ILLINOIS,10,27,6330,27
BATAVIA,NEW YORK,69,733,233321,733
BATAVIA,OHIO,26,372,108108,372
BATESBURG-LEESVILLE,SOUTH CAROLINA,1,1,1075,1
BATESVILLE,ARKANSAS,98,3448,1135846,3448
BATESVILLE,INDIANA,41,689,218295,689
BATESVILLE,MISSISSIPPI,19,142,37204,142
BATH,MAINE,18,97,10564,97
BATH,NEW YORK,30,153,46589,153
BATH,PENNSYLVANIA,4,4,1180,4
BATON ROUGE,LOUISIANA,1269,53775,7801504,53775
BATTLE CREEK,MICHIGAN,219,7058,1410248,7058
BATTLE GROUND,WASHINGTON,6,7,445,7
BATTLE MOUNTAIN,NEVADA,1,2,3994,2
BAUDETTE,MINNESOTA,1,4,8995,4
BAXLEY,GEORGIA,18,124,50970,124
BAXTER,MINNESOTA,18,57,6680,57
BAXTER,TENNESSEE,1,1,25,1
BAXTER SPRINGS,KANSAS,3,7,7885,7
BAY CITY,MICHIGAN,176,6247,1627295,6247
BAY CITY,TEXAS,34,487,244113,487
BAY HARBOR ISLANDS,FLORIDA,11,26,6565,26
BAY MINETTE,ALABAMA,22,156,39146,156
BAY SAINT LOUIS,MISSISSIPPI,4,6,1087,6
BAY SHORE,NEW YORK,201,4901,890631,4901
BAY SPRINGS,MISSISSIPPI,8,47,23259,47
BAY ST LOUIS,MISSISSIPPI,18,163,32695,163
BAYAMON,PUERTO RICO,304,2690,201218,2690
BAYBORO,NORTH CAROLINA,4,14,6112,14
BAYONET POINT,FLORIDA,5,6,714,6
BAYONNE,NEW JERSEY,96,2599,642558,2599
BAYOU LA BATRE,ALABAMA,1,1,906,1
BAYPORT,NEW YORK,4,4,466,4
BAYSHORE,NEW YORK,2,2,137,2
BAYSIDE,NEW YORK,60,263,40951,263
BAYSIDE,WISCONSIN,11,38,6276,38
BAYTOWN,TEXAS,129,3244,805218,3244
BAYVIEW,WISCONSIN,2,2,858,2
BAYVILLE,NEW JERSEY,3,5,3757,5
BEACH,NORTH DAKOTA,2,5,1555,5
BEACHWOOD,NEW JERSEY,2,3,1852,3
BEACHWOOD,OHIO,148,1431,168322,1431
BEACON,NEW YORK,6,13,2914,13
BEACON FALLS,CONNECTICUT,2,2,686,2
